Risotto_Saffron,Rice,80,Onion,15,Butter,13,Parmesan,15,Saffron,0.05,Wine,80
Pasta_Carbonara,Pasta,100,Guanciale,50,Egg,35,Pecorino,30
Pasta_Turnip,Pasta,80,Turnip_Top,160,Anchovy,24,Garlic,1
Pasta_Cacio_Pepe,Pasta,100,Pecorino,50
Pasta_Aglio_Olio,Pasta,100,Garlic,2,Oil,20
Pasta_Amatriciana,Pasta,100,Guanciale,62.5,Pecorino,37.5,Tomato,100
Pasta_Tunafish,Pasta,125,Tunafish,75,Tomato,125
Polenta_Fontina,Polenta,100,Butter,3,Fontina,50
Chickpea_Soup,Chickpea,75,Carrot,20,Onion,25,Celery,20,Garlic,1,Tomato,25
Risotto_Pescatora,Rice,60,Shrimp,100,Cuttlefish,100,Mussel,250,Celery,20,Carrot,20,Onion,25,Garlic,1,Tomato,25,Wine,80
Omelette,Egg,75,Cream,15,Butter,7.5,Parmesan,5
Mozzarella_Carrozza,Bread,40,Mozzarella,65,Egg,70
Roasted_Chicken,Chicken,100,Garlic,1.5
Roasted_Swordfish,Swordfish,100
Bream_Acqua_Pazza,Bream,400,Tomato,350,Garlic,3,Olive,100
Roasted_Salmon,Salmon,200
Beans_Sausage,Sausage,150,Bean,125,Tomato,25
Duck_Orange,Duck,150,Butter,6,Orange,75,Wine,10,Honey,2.5
Caprese,Mozzarella,125,Tomato,125
Spinach,Spinach,250
Zucchini,Zucchini,100
Baked_Potatoes,Potato,100,Garlic,1
Apple,Apple,200
Orange,Orange,150
Lettuce,Lettuce,80
Strawberry,Strawberry,80
Kiwi,Kiwi,80
Tomato,Tomato,90
Banana,Banana,80
